grid_id,lat,lon,cluster,neighborhood_name,neighborhood_is_fallback,supervisor_district,supervisor_district_name,supervisor_name,district_is_fallback
105_60,37.799438822918916,-122.44678663835134,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_61,37.79971908353846,-122.44524996353847,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_62,37.799867459145666,-122.44368018038976,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_63,37.79949379748387,-122.44270951503226,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_64,37.800100505467896,-122.44201505134862,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_65,37.799581625222224,-122.4404278467778,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_67,37.79988941995699,-122.4381726682043,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_68,37.7997808115,-122.437169439125,0,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_70,37.800063724,-122.43524905199999,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_71,37.799865415205886,-122.43422879476469,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_72,37.799631626347825,-122.43256357313045,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_73,37.79975498828395,-122.43138576509877,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_74,37.79972875991667,-122.43012179058334,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_75,37.799331522,-122.42912787,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_76,37.799895411224995,-122.42846830507501,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_77,37.79998412527632,-122.42720919642106,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_78,37.799744997674416,-122.4258755973721,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_79,37.799482752306815,-122.42491421146592,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
105_80,37.79974726294944,-122.42366155438204,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_81,37.800161698475726,-122.42259728845632,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_82,37.79957467212179,-122.42116600008976,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_83,37.79990945979687,-122.41998718721875,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_84,37.79981740926415,-122.41917507298113,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_85,37.8001245101875,-122.41774322409375,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_86,37.79949179138532,-122.4169428020367,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_87,37.79969073601281,-122.4159837957564,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_88,37.79980371589286,-122.41449544928571,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_89,37.79989684348387,-122.41328923195161,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_90,37.79974094193548,-122.41213978745968,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_91,37.800025553431034,-122.41109955260345,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_92,37.799820866699115,-122.40965027848674,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_93,37.800067683694444,-122.40830728663887,3,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_94,37.799709174629626,-122.40782590172839,3,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_95,37.799819104250005,-122.40635901425,1,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_96,37.79948865786111,-122.40575373627777,1,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
105_97,37.799941245256754,-122.40424901269368,1,North Beach,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
106_60,37.800843007000005,-122.4464658275,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
106_61,37.80024680394118,-122.44472899482352,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
